episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
83,0,Classic Escape Room,-436,150,0,0.7792882711929549,0.49429630691806475,1,1,0,-544.6024096385543,0.0
84,2,Advanced Puzzle Room,-519,150,0,0.776950406379376,0.4857891285419464,1,0,0,-544.297619047619,0.0
85,0,Classic Escape Room,-467,150,0,0.7746195551602378,0.4885055081546307,1,1,0,-543.3882352941176,0.0
86,1,Alternative Maze Room,-457,150,0,0.7722956964947572,0.49700809573133786,0,2,0,-542.3837209302326,0.0
87,1,Alternative Maze Room,-540,150,0,0.7699788094052729,0.4710486746827761,0,0,0,-542.3563218390805,0.0
88,2,Advanced Puzzle Room,-568,150,0,0.767668872977057,0.458846184934179,1,0,0,-542.6477272727273,0.0
89,1,Alternative Maze Room,-499,150,0,0.7653658663581259,0.463941933910052,1,0,0,-542.1573033707865,0.0
90,2,Advanced Puzzle Room,-503,150,0,0.7630697687590515,0.5171639411399762,1,0,0,-541.7222222222222,0.0
91,1,Alternative Maze Room,-505,150,0,0.7607805594527743,0.4318603893617789,1,1,0,-541.3186813186813,0.0
92,1,Alternative Maze Room,-438,150,0,0.7584982177744161,0.4543860005835692,0,2,0,-540.195652173913,0.0
93,1,Alternative Maze Room,-569,150,0,0.7562227231210928,0.47921847914656,1,0,0,-540.505376344086,0.0
94,2,Advanced Puzzle Room,-528,150,0,0.7539540549517295,0.4785840693116188,1,0,0,-540.3723404255319,0.0
95,2,Advanced Puzzle Room,-514,150,0,0.7516921927868743,0.4243130401025216,1,0,0,-540.0947368421052,0.0
96,1,Alternative Maze Room,-387,150,0,0.7494371162085136,0.44741219145556294,0,1,0,-538.5,0.0
97,0,Classic Escape Room,-384,150,0,0.747188804859888,0.44060498466094333,1,2,0,-536.9072164948453,0.0
98,0,Classic Escape Room,-447,150,0,0.7449472384453084,0.43856739297509195,0,2,0,-535.9897959183673,0.0
99,2,Advanced Puzzle Room,-499,150,0,0.7427123967299725,0.4216177323957284,1,0,0,-535.6161616161617,0.0
100,0,Classic Escape Room,-364,150,0,0.7404842595397826,0.4667046593129635,1,1,0,-533.9,0.0
101,0,Classic Escape Room,-367,150,0,0.7382628067611632,0.4915472461779912,1,2,0,-532.19,0.0
102,1,Alternative Maze Room,-507,150,0,0.7360480183408797,0.4682724849879742,0,1,0,-530.82,0.0
103,1,Alternative Maze Room,-438,150,0,0.7338398742858571,0.46572979812820753,0,1,0,-529.08,0.0
104,2,Advanced Puzzle Room,-475,150,0,0.7316383546629995,0.42753086864948275,0,0,0,-527.67,0.0
105,2,Advanced Puzzle Room,-525,150,0,0.7294434395990105,0.4532414956390858,0,0,0,-526.54,0.0
106,2,Advanced Puzzle Room,-453,150,0,0.7272551092802134,0.44858556136488914,0,1,0,-524.84,0.0
107,1,Alternative Maze Room,-479,150,0,0.7250733439523728,0.44745245317618054,0,1,0,-523.37,0.0
108,1,Alternative Maze Room,-489,150,0,0.7228981239205157,0.47415387543539206,1,0,0,-521.81,0.0
109,0,Classic Escape Room,-448,150,0,0.7207294295487541,0.4486500543355942,1,1,0,-520.67,0.0
110,0,Classic Escape Room,-414,150,0,0.7185672412601078,0.43604172294338545,0,2,0,-518.57,0.0
111,0,Classic Escape Room,-397,150,0,0.7164115395363275,0.424953595250845,1,1,0,-516.12,0.0
112,2,Advanced Puzzle Room,-560,150,0,0.7142623049177186,0.4605611791213354,0,0,0,-515.31,0.0
113,0,Classic Escape Room,-357,150,0,0.7121195180029655,0.41958573818206785,1,2,0,-513.41,0.0
114,2,Advanced Puzzle Room,-530,150,0,0.7099831594489566,0.4547777678569158,0,0,0,-513.99,0.0
115,2,Advanced Puzzle Room,-479,150,0,0.7078532099706097,0.4156093337883552,1,0,0,-513.4,0.0
116,0,Classic Escape Room,-351,150,0,0.7057296503406979,0.44121050005157786,1,1,0,-511.16,0.0
117,0,Classic Escape Room,-393,150,0,0.7036124613896758,0.4429373723516862,0,2,0,-509.2,0.0
118,2,Advanced Puzzle Room,-505,150,0,0.7015016240055068,0.42617182393868763,0,0,0,-508.46,0.0
119,2,Advanced Puzzle Room,-455,150,0,0.6993971191334902,0.4375849337875843,0,0,0,-506.81,0.0
120,0,Classic Escape Room,-431,150,0,0.6972989277760897,0.4138684607048829,0,1,0,-505.63,0.0
121,2,Advanced Puzzle Room,-458,150,0,0.6952070309927615,0.44945601095755894,1,0,0,-504.8,0.0
122,0,Classic Escape Room,-428,150,0,0.6931214098997832,0.4314353792369366,1,0,0,-503.86,0.0
123,0,Classic Escape Room,-386,150,0,0.6910420456700839,0.45404315300285814,1,1,0,-502.24,0.0
124,2,Advanced Puzzle Room,-508,150,0,0.6889689195330736,0.38368033106128374,1,0,0,-500.72,0.0
125,0,Classic Escape Room,-406,150,0,0.6869020127744744,0.42037352139751116,1,1,0,-499.39,0.0
126,2,Advanced Puzzle Room,-464,150,0,0.684841306736151,0.3751956655085087,0,1,0,-498.19,0.0
127,1,Alternative Maze Room,-390,150,0,0.6827867828159425,0.4044415193547805,1,1,0,-496.46,0.0
128,1,Alternative Maze Room,-461,150,0,0.6807384224674947,0.4523390083014965,1,1,0,-495.4,0.0
129,0,Classic Escape Room,-454,150,0,0.6786962072000923,0.3914487802237272,1,0,0,-493.85,0.0
130,0,Classic Escape Room,-333,150,0,0.676660118578492,0.3819437283029159,0,1,0,-491.23,0.0
131,2,Advanced Puzzle Room,-460,150,0,0.6746301382227565,0.41909270763397216,1,0,0,-489.71,0.0
132,0,Classic Escape Room,-394,150,0,0.6726062478080883,0.4593693361679713,0,1,0,-488.43,0.0
133,0,Classic Escape Room,-407,150,0,0.6705884290646641,0.4481513604025046,1,0,0,-487.12,0.0
134,1,Alternative Maze Room,-443,150,0,0.66857666377747,0.3561867595712344,0,2,0,-485.63,0.0
135,1,Alternative Maze Room,-388,150,0,0.6665709337861376,0.3887882418433825,1,1,0,-483.87,0.0
136,1,Alternative Maze Room,-529,150,0,0.6645712209847792,0.41058894793192546,0,1,0,-482.91,0.0
137,2,Advanced Puzzle Room,-422,150,0,0.6625775073218249,0.3776552190879981,0,1,0,-481.89,0.0
138,2,Advanced Puzzle Room,-483,150,0,0.6605897747998594,0.41149222895503046,1,0,0,-481.44,0.0
139,2,Advanced Puzzle Room,-501,150,0,0.6586080054754598,0.45620204105973244,1,0,0,-481.07,0.0
140,2,Advanced Puzzle Room,-497,150,0,0.6566321814590335,0.3542114634811878,1,0,0,-481.08,0.0
141,1,Alternative Maze Room,-421,150,0,0.6546622849146564,0.41521043203771113,1,1,0,-480.13,0.0
142,2,Advanced Puzzle Room,-460,150,0,0.6526982980599124,0.36626771281162895,0,0,0,-479.53,0.0
143,2,Advanced Puzzle Room,-530,150,0,0.6507402031657327,0.39446933013697466,0,0,0,-480.15,0.0
144,1,Alternative Maze Room,-424,150,0,0.6487879825562355,0.37462517858793337,1,1,0,-478.74,0.0
145,2,Advanced Puzzle Room,-414,150,0,0.6468416186085668,0.4005806011954943,1,0,0,-477.24,0.0
