episode,stage,stage_name,rows,cols,wall_density,num_puzzles,level_seed,total_reward,steps,success,rolling_success,epsilon,loss
94,1,stage_1_small_easy,6,6,0.0808,1,645,-412,144,0,0.0,0.9102399514140735,0.15935723835395443
95,1,stage_1_small_easy,6,6,0.108,1,199,-466,144,0,0.0,0.9093297114626595,0.14347663912404743
96,1,stage_1_small_easy,6,6,0.0844,1,624,-415,144,0,0.0,0.9084203817511969,0.14573222996356586
97,1,stage_1_small_easy,6,6,0.106,1,807,-498,144,0,0.0,0.9075119613694457,0.13663177334496546
98,1,stage_1_small_easy,6,6,0.112,1,531,-483,144,0,0.0,0.9066044494080763,0.1320772817513595
99,1,stage_1_small_easy,6,6,0.1113,1,380,-441,144,0,0.0,0.9056978449586682,0.15146440223583746
100,1,stage_1_small_easy,6,6,0.0943,1,979,-437,144,0,0.0,0.9047921471137096,0.16571359388116333
101,1,stage_1_small_easy,6,6,0.0994,1,967,-511,144,0,0.0,0.9038873549665959,0.1745915413161533
102,1,stage_1_small_easy,6,6,0.0837,1,519,-474,144,0,0.0,0.9029834676116293,0.1735369471522669
103,1,stage_1_small_easy,6,6,0.0858,1,945,-548,144,0,0.0,0.9020804841440176,0.17580720396815902
104,1,stage_1_small_easy,6,6,0.0966,1,425,-525,144,0,0.0,0.9011784036598737,0.1385726585673789
105,1,stage_1_small_easy,6,6,0.1117,1,702,-396,144,0,0.0,0.9002772252562138,0.18679382191557023
106,1,stage_1_small_easy,6,6,0.0999,1,739,-569,144,0,0.0,0.8993769480309576,0.14569864362581736
107,1,stage_1_small_easy,6,6,0.0941,1,367,-412,144,0,0.0,0.8984775710829266,0.1318032706104633
108,1,stage_1_small_easy,6,6,0.0939,1,850,-560,144,0,0.0,0.8975790935118436,0.14611363866262966
109,1,stage_1_small_easy,6,6,0.0828,1,212,-499,144,0,0.0,0.8966815144183318,0.13363622804172337
110,1,stage_1_small_easy,6,6,0.1064,1,765,-443,144,0,0.0,0.8957848329039134,0.15048447008141214
111,1,stage_1_small_easy,6,6,0.0948,1,955,-508,144,0,0.0,0.8948890480710096,0.13610710257974765
112,1,stage_1_small_easy,6,6,0.0875,1,488,-421,144,0,0.0,0.8939941590229386,0.11422525721395181
113,1,stage_1_small_easy,6,6,0.0852,1,370,-454,144,0,0.0,0.8931001648639156,0.1473914783499721
114,1,stage_1_small_easy,6,6,0.1184,1,959,-454,144,0,0.0,0.8922070646990518,0.1493514515976939
115,1,stage_1_small_easy,6,6,0.1037,1,105,-526,144,0,0.0,0.8913148576343527,0.11570131341512832
116,1,stage_1_small_easy,6,6,0.0951,1,968,-530,144,0,0.0,0.8904235427767183,0.16067666301710737
117,1,stage_1_small_easy,6,6,0.0926,1,242,-549,144,0,0.0,0.8895331192339416,0.13047837861813605
118,1,stage_1_small_easy,6,6,0.0949,1,881,-491,144,0,0.0,0.8886435861147077,0.1459731456771907
119,1,stage_1_small_easy,6,6,0.0958,1,135,-469,144,0,0.0,0.887754942528593,0.10923279211339024
120,1,stage_1_small_easy,6,6,0.102,1,605,-477,144,0,0.0,0.8868671875860644,0.1626462140896668
121,1,stage_1_small_easy,6,6,0.1055,1,254,-402,144,0,0.0,0.8859803203984784,0.1575345661646376
122,1,stage_1_small_easy,6,6,0.1055,1,385,-432,144,0,0.0,0.88509434007808,0.17393487588398987
123,1,stage_1_small_easy,6,6,0.0967,1,451,-512,144,0,0.0,0.8842092457380019,0.12380538239247268
124,1,stage_1_small_easy,6,6,0.0917,1,93,-517,144,0,0.0,0.8833250364922639,0.13248585513792932
125,1,stage_1_small_easy,6,6,0.0911,1,814,-482,144,0,0.0,0.8824417114557717,0.16054654002396596
126,1,stage_1_small_easy,6,6,0.0874,1,442,-519,144,0,0.0,0.8815592697443159,0.13426586100831628
127,1,stage_1_small_easy,6,6,0.1184,1,959,-486,144,0,0.0,0.8806777104745716,0.15127111596262288
128,1,stage_1_small_easy,6,6,0.0985,1,494,-483,144,0,0.0,0.8797970327640969,0.14375565545116034
129,1,stage_1_small_easy,6,6,0.0801,1,633,-478,144,0,0.0,0.8789172357313328,0.14834143402468827
130,1,stage_1_small_easy,6,6,0.0887,1,787,-429,144,0,0.0,0.8780383184956015,0.17555002606887785
131,1,stage_1_small_easy,6,6,0.097,1,94,-434,144,0,0.0,0.8771602801771059,0.1462566954497662
