episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
117,1,Alternative Maze Room,-410,150,0,0.7036124613896758,0,1,2,0,-494.76,0.02
118,2,Advanced Puzzle Room,-421,150,0,0.7015016240055068,0,1,2,0,-493.39,0.02
119,2,Advanced Puzzle Room,-414,150,0,0.6993971191334902,0,1,2,0,-492.24,0.02
120,2,Advanced Puzzle Room,-413,150,0,0.6972989277760897,0,1,3,0,-490.46,0.02
121,1,Alternative Maze Room,-387,150,0,0.6952070309927615,0,1,3,0,-489.1,0.02
122,2,Advanced Puzzle Room,-493,150,0,0.6931214098997832,0,1,2,0,-488.34,0.02
123,2,Advanced Puzzle Room,-416,150,0,0.6910420456700839,0,1,2,0,-486.83,0.02
124,1,Alternative Maze Room,-343,150,0,0.6889689195330736,0,1,3,1,-484.17,0.02
125,0,Classic Escape Room,-506,150,0,0.6869020127744744,0,1,2,0,-483.01,0.02
126,0,Classic Escape Room,-98,125,1,0.684841306736151,0,1,3,1,-478.49,0.03
127,1,Alternative Maze Room,-380,150,0,0.6827867828159425,0,1,2,0,-476.38,0.03
128,1,Alternative Maze Room,-477,150,0,0.6807384224674947,0,1,2,0,-475.62,0.03
129,2,Advanced Puzzle Room,-406,150,0,0.6786962072000923,0,1,3,0,-474.38,0.03
130,1,Alternative Maze Room,-374,150,0,0.676660118578492,0,1,3,0,-472.71,0.03
131,1,Alternative Maze Room,-415,150,0,0.6746301382227565,0,1,3,0,-470.83,0.03
132,1,Alternative Maze Room,-481,150,0,0.6726062478080883,0,1,2,0,-470.73,0.03
133,0,Classic Escape Room,-386,150,0,0.6705884290646641,0,1,3,0,-468.76,0.03
134,2,Advanced Puzzle Room,-462,150,0,0.66857666377747,0,1,2,0,-468.78,0.03
135,2,Advanced Puzzle Room,-389,150,0,0.6665709337861376,0,1,3,0,-467.14,0.03
136,2,Advanced Puzzle Room,-349,150,0,0.6645712209847792,0,1,3,1,-464.71,0.03
137,1,Alternative Maze Room,-359,150,0,0.6625775073218249,0,1,3,1,-463.56,0.03
138,2,Advanced Puzzle Room,-381,150,0,0.6605897747998594,0,1,3,0,-462.07,0.03
139,0,Classic Escape Room,-388,150,0,0.6586080054754598,0,1,2,0,-460.34,0.03
140,2,Advanced Puzzle Room,-423,150,0,0.6566321814590335,0,1,2,0,-459.08,0.03
141,0,Classic Escape Room,-535,150,0,0.6546622849146564,0,0,1,0,-458.7,0.03
142,0,Classic Escape Room,-255,150,0,0.6526982980599124,0,1,3,1,-455.59,0.03
143,1,Alternative Maze Room,-401,150,0,0.6507402031657327,0,1,3,0,-454.36,0.03
144,1,Alternative Maze Room,-395,150,0,0.6487879825562355,0,1,3,0,-453.01,0.03
145,2,Advanced Puzzle Room,-202,136,1,0.6468416186085668,0,1,3,1,-449.15,0.04
146,1,Alternative Maze Room,-352,150,0,0.6449010937527411,0,1,2,0,-446.77,0.04
147,2,Advanced Puzzle Room,-404,150,0,0.6429663904714829,0,1,3,0,-445.89,0.04
148,1,Alternative Maze Room,-301,150,0,0.6410374913000684,0,1,3,1,-443.31,0.04
149,0,Classic Escape Room,-160,132,1,0.6391143788261682,0,1,3,1,-438.98,0.05
150,0,Classic Escape Room,88,69,1,0.6371970356896897,0,1,3,1,-432.4,0.06
151,1,Alternative Maze Room,-341,150,0,0.6352854445826206,0,1,3,1,-430.87,0.06
152,2,Advanced Puzzle Room,-364,150,0,0.6333795882488727,0,1,3,0,-429.59,0.06
153,2,Advanced Puzzle Room,-398,150,0,0.6314794494841262,0,1,3,0,-428.41,0.06
154,2,Advanced Puzzle Room,-334,150,0,0.6295850111356738,0,1,3,0,-426.78,0.06
155,0,Classic Escape Room,-424,150,0,0.6276962561022668,0,1,2,0,-425.22,0.06
156,1,Alternative Maze Room,-409,150,0,0.62581316733396,0,1,2,0,-424.0,0.06
157,0,Classic Escape Room,-68,130,1,0.623935727831958,0,1,3,1,-419.86,0.07
158,1,Alternative Maze Room,31,102,1,0.6220639206484622,0,1,3,1,-414.75,0.08
159,0,Classic Escape Room,66,71,1,0.6201977288865168,0,1,3,1,-408.71,0.09
160,0,Classic Escape Room,143,55,1,0.6183371356998573,0,1,3,1,-402.14,0.1
161,1,Alternative Maze Room,55,90,1,0.6164821242927577,0,1,3,1,-396.04,0.11
162,1,Alternative Maze Room,-348,150,0,0.6146326779198794,0,1,3,0,-395.25,0.11
163,0,Classic Escape Room,-430,150,0,0.6127887798861198,0,1,2,0,-394.49,0.11
164,1,Alternative Maze Room,-330,150,0,0.6109504135464614,0,1,3,0,-392.61,0.11
165,1,Alternative Maze Room,-381,150,0,0.609117562305822,0,1,3,1,-392.0,0.11
166,2,Advanced Puzzle Room,-390,150,0,0.6072902096189046,0,1,3,0,-390.82,0.11
167,2,Advanced Puzzle Room,-371,150,0,0.6054683389900478,0,1,2,0,-389.93,0.11
168,1,Alternative Maze Room,-374,150,0,0.6036519339730777,0,1,3,0,-387.81,0.11
169,0,Classic Escape Room,41,75,1,0.6018409781711584,0,1,3,1,-382.9,0.12
170,2,Advanced Puzzle Room,-338,150,0,0.6000354552366449,0,1,3,0,-381.33,0.12
171,0,Classic Escape Room,34,83,1,0.598235348870935,0,1,3,1,-375.79,0.13
172,1,Alternative Maze Room,-16,99,1,0.5964406428243222,0,1,3,1,-371.51,0.14
173,2,Advanced Puzzle Room,-127,150,1,0.5946513208958493,0,1,3,1,-367.52,0.15
174,0,Classic Escape Room,-359,150,0,0.5928673669331617,0,1,3,0,-365.9,0.15
175,1,Alternative Maze Room,-359,150,0,0.5910887648323622,0,1,2,0,-365.45,0.15
176,0,Classic Escape Room,33,93,1,0.5893154985378651,0,1,3,1,-360.21,0.16
177,1,Alternative Maze Room,-19,117,1,0.5875475520422515,0,1,3,1,-355.89,0.17
178,0,Classic Escape Room,85,71,1,0.5857849093861247,0,1,3,1,-350.45,0.18
179,1,Alternative Maze Room,12,73,1,0.5840275546579663,0,1,3,1,-344.71,0.19
180,0,Classic Escape Room,-136,149,1,0.5822754719939924,0,1,3,1,-341.53,0.2
